model,augmentation,val_loss,val_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_precision,test_recall,test_f1
SmallCNN,flip,1.2651893069798297,0.5403222222222223,0.539874654863857,0.5403222222222223,0.5378321868088145,1.2723544795404782,0.5387555555555555,0.5384869987411127,0.5387555555555555,0.536371841569217
SmallCNN,shift,1.2932156004350297,0.5258,0.5256513235205317,0.5258,0.5163353624729097,1.2997123085978357,0.5241333333333333,0.524861027859353,0.5241333333333333,0.5149092199950355
SmallCNN,rotation,1.1652140385386618,0.5809,0.5814309191378797,0.5809000000000001,0.5803781988679908,1.1717230008745736,0.5783333333333334,0.5788729579726477,0.5783333333333334,0.5779227260259469
SmallCNN,baseline (brak),1.13489505530081,0.5923555555555555,0.5897242284173153,0.5923555555555555,0.5905096272378814,1.1432934860614212,0.5898222222222222,0.5870404713692259,0.5898222222222222,0.5879725697356802
SmallCNN,cutmix,1.392023373056542,0.5185333333333333,0.5094304753966752,0.5185333333333333,0.5117835999102,1.395607028156519,0.5180555555555556,0.5089805757230174,0.5180555555555555,0.5111497552658939
DenseNet121,flip,0.6546397226807319,0.7698555555555555,0.7715218367554846,0.7698555555555555,0.7688573313570322,0.6628807937700555,0.7670666666666667,0.768744133504218,0.7670666666666668,0.7661940660778814
DenseNet121,shift,0.6080722634346512,0.7844111111111111,0.7843155570323129,0.7844111111111112,0.7833440981318156,0.6145083160982876,0.7832444444444444,0.7831986316458683,0.7832444444444444,0.7823549264101837
DenseNet121,rotation,0.6200461519138482,0.7812444444444444,0.7806006543231494,0.7812444444444445,0.7799776189238254,0.6266841130894654,0.7783444444444444,0.7779062690558685,0.7783444444444444,0.7771753563764008
DenseNet121,baseline (brak),0.5893487137749955,0.7908777777777778,0.79043894964665,0.7908777777777777,0.7897063659014447,0.5948770561285642,0.7889555555555555,0.7886558531699592,0.7889555555555555,0.7878875051156651
DenseNet121,cutmix,0.7454347036198878,0.7678555555555555,0.7687669084465071,0.7678555555555555,0.7666965771795915,0.7480497141929865,0.7680777777777777,0.7692732101968848,0.7680777777777779,0.7670410475572986
VGG16_BN,flip,1.8619460111442216,0.7091777777777778,0.7139471219482141,0.7091777777777778,0.7067495763010914,1.9045692417940137,0.7057888888888889,0.7109810113183544,0.705788888888889,0.7033788471827951
VGG16_BN,shift,1.8754808382385093,0.7183444444444445,0.7325528412428116,0.7183444444444446,0.7179029580101604,1.9040736302473853,0.7168222222222222,0.7319465047132062,0.7168222222222222,0.716363507644204
VGG16_BN,rotation,1.8932196461892568,0.7303888888888889,0.7341461361633816,0.7303888888888889,0.7287939423389026,1.8922648463552831,0.7296777777777778,0.7336408654302746,0.7296777777777778,0.7281516283951783
VGG16_BN,baseline (brak),1.9097502809954847,0.7363555555555555,0.7451030631466803,0.7363555555555557,0.7367812544412594,1.9316378891589885,0.7357333333333334,0.7445017874642492,0.7357333333333334,0.736244571004882
VGG16_BN,cutmix,1.2715171160149248,0.6767666666666666,0.7131991608905377,0.6767666666666667,0.6752674068677347,1.2860317606501444,0.6748777777777778,0.7121193658167115,0.6748777777777779,0.6733946359260852
ResNet,flip,0.764391034058869,0.7709777777777778,0.7897008486367947,0.7709777777777778,0.7729177678508277,0.7819037155684917,0.7672777777777777,0.7863429415307246,0.7672777777777777,0.7693447261301947
ResNet,shift,0.7609279106619082,0.7999777777777778,0.8122669718756154,0.7999777777777777,0.7996066270567416,0.7818445830411085,0.7970777777777778,0.8097796878194181,0.7970777777777778,0.7968679333606643
ResNet,rotation,0.7528537003918714,0.7966333333333333,0.8079914104112957,0.7966333333333333,0.7974238866732841,0.7726631656168588,0.7937444444444445,0.8056389731812474,0.7937444444444444,0.7946777401810283
ResNet,baseline (brak),0.7104653710339827,0.8026444444444445,0.8200920734482005,0.8026444444444445,0.8026355928329947,0.7316474826709151,0.8002888888888889,0.8169835240053163,0.8002888888888888,0.8003169836190395
ResNet,cutmix,0.666696717348804,0.7763555555555556,0.7913851277916227,0.7763555555555555,0.7778562851418985,0.6760505220160508,0.7745222222222222,0.7896846688959991,0.7745222222222221,0.7760425089644392
